year,month,temperature,sea_level,precipitation_rate,location
1976.083333,1,0.71,0.57,4.9,"Tokyo, Japan"
1976.166667,2,1.79,0.53,3.4000000000000004,"Tokyo, Japan"
1976.25,3,5.46,0.5,5.3,"Tokyo, Japan"
1976.333333,4,9.72,0.48,4.6,"Tokyo, Japan"
1976.416667,5,15.22,0.5,3.6000000000000005,"Tokyo, Japan"
1976.5,6,18.72,0.57,8.799999999999999,"Tokyo, Japan"
1976.583333,7,21.13,0.62,6.800000000000001,"Tokyo, Japan"
1976.666667,8,21.27,0.65,3.4999999999999996,"Tokyo, Japan"
1976.75,9,18.12,0.67,6.6000000000000005,"Tokyo, Japan"
1976.833333,10,12.98,0.66,2.1999999999999997,"Tokyo, Japan"
1976.916667,11,8.44,0.64,2.5,"Tokyo, Japan"
1977,12,3.93,0.57,3.9,"Tokyo, Japan"
1977.083333,1,1.71,0.52,4.500000000000001,"Tokyo, Japan"
1977.166667,2,0.5,0.45,5.7,"Tokyo, Japan"
1977.25,3,2.94,0.41,4.7,"Tokyo, Japan"
1977.333333,4,7.71,0.43,3.8,"Tokyo, Japan"
1977.416667,5,14.91,0.47,4.199999999999999,"Tokyo, Japan"
1977.5,6,19.59,0.52,5.1,"Tokyo, Japan"
1977.583333,7,21.94,0.58,5.800000000000001,"Tokyo, Japan"
1977.666667,8,22.7,0.62,1.8000000000000003,"Tokyo, Japan"
1977.75,9,21.33,0.66,4.8,"Tokyo, Japan"
1977.833333,10,13.87,0.66,3.3000000000000003,"Tokyo, Japan"
1977.916667,11,9.59,0.63,3.8,"Tokyo, Japan"
1978,12,3.88,0.58,4.3999999999999995,"Tokyo, Japan"
1978.083333,1,1.18,0.5,5.7,"Tokyo, Japan"
1978.166667,2,-0.4,0.41,4.7,"Tokyo, Japan"
1978.25,3,2.72,0.36,5.800000000000001,"Tokyo, Japan"
1978.333333,4,7.67,0.39,4.199999999999999,"Tokyo, Japan"
1978.416667,5,13.8,0.43,5,"Tokyo, Japan"
1978.5,6,16.77,0.47,8.7,"Tokyo, Japan"
1978.583333,7,19.46,0.51,3.8,"Tokyo, Japan"
1978.666667,8,21.7,0.55,3.6000000000000005,"Tokyo, Japan"
1978.75,9,18.3,0.57,4.199999999999999,"Tokyo, Japan"
1978.833333,10,13.42,0.58,3.2,"Tokyo, Japan"
1978.916667,11,8.88,0.58,6.8999999999999995,"Tokyo, Japan"
1979,12,4.49,0.56,3.4999999999999996,"Tokyo, Japan"
1979.083333,1,0.49,0.53,3.2,"Tokyo, Japan"
1979.166667,2,0.95,0.46,3.4999999999999996,"Tokyo, Japan"
1979.25,3,1.95,0.41,5.2,"Tokyo, Japan"
1979.333333,4,7.2,0.4,5.4,"Tokyo, Japan"
1979.416667,5,13.21,0.43,3.4999999999999996,"Tokyo, Japan"
1979.5,6,19.14,0.49,5.2,"Tokyo, Japan"
1979.583333,7,21.49,0.56,2.8000000000000003,"Tokyo, Japan"
1979.666667,8,23.63,0.61,1.5000000000000002,"Tokyo, Japan"
1979.75,9,20.87,0.64,9.8,"Tokyo, Japan"
1979.833333,10,14.24,0.66,4.3999999999999995,"Tokyo, Japan"
