year,month,temperature,sea_level,precipitation_rate
1976.083333,1,-2.16,0.26,3.9
1976.166667,2,-6.79,0.25,2.5
1976.25,3,-3.7,0.28,2.4
1976.333333,4,0.39,0.26,2.3
1976.416667,5,4.15,0.28,2.0999999999999996
1976.5,6,7.87,0.31,2.6
1976.583333,7,9.69,0.31,2.6
1976.666667,8,9.09,0.31,2.3
1976.75,9,8.32,0.35,4.1000000000000005
1976.833333,10,3.58,0.3,4.1000000000000005
1976.916667,11,-1.08,0.3,4.1000000000000005
1977,12,-4.88,0.26,3.2
1977.083333,1,-1.3,0.27,3.4999999999999996
1977.166667,2,-0.81,0.27,3.0000000000000004
1977.25,3,-3.09,0.24,2.7
1977.333333,4,1.84,0.27,2.5
1977.416667,5,4.85,0.29,2.9000000000000004
1977.5,6,8.1,0.31,2.4
1977.583333,7,12.23,0.32,2.3
1977.666667,8,11.35,0.34,2.8000000000000003
1977.75,9,7.7,0.32,4.9
1977.833333,10,1.77,0.3,3.6999999999999997
1977.916667,11,0.97,0.24,5.1
1978,12,-1.25,0.22,3.6000000000000005
1978.083333,1,-4.07,0.29,2.9000000000000004
1978.166667,2,-1.31,0.29,2.4
1978.25,3,0.47,0.28,1.8000000000000003
1978.333333,4,3.3,0.3,1.8000000000000003
1978.416667,5,5.53,0.29,2.9000000000000004
1978.5,6,9.55,0.33,2.4
1978.583333,7,10.75,0.34,2.9000000000000004
1978.666667,8,9.38,0.34,3.4000000000000004
1978.75,9,6.46,0.31,3.4999999999999996
1978.833333,10,2.35,0.28,5.1
1978.916667,11,1.49,0.33,4.3999999999999995
1979,12,-0.67,0.25,4.3999999999999995
1979.083333,1,-2.49,0.26,3.4000000000000004
1979.166667,2,-6.12,0.2,2.5
1979.25,3,-3.21,0.26,2.3
1979.333333,4,2.13,0.25,2.0999999999999996
1979.416667,5,5.06,0.31,2.1999999999999997
1979.5,6,8.22,0.31,3.1
1979.583333,7,9.62,0.33,3.4000000000000004
1979.666667,8,9.68,0.33,3.4999999999999996
1979.75,9,7.59,0.33,4.300000000000001
1979.833333,10,4.04,0.33,4.6
1979.916667,11,-1.08,0.28,3.8
1980,12,-0.66,0.28,4.500000000000001
1980.083333,1,-2.57,0.26,2.9000000000000004
1980.166667,2,-2.6,0.26,2.9000000000000004
1980.25,3,-3,0.26,2.8000000000000003
1980.333333,4,-0.52,0.26,2.9000000000000004
1980.416667,5,4.88,0.3,2
1980.5,6,8.49,0.31,2.6
1980.583333,7,10.34,0.32,2.9000000000000004
1980.666667,8,9.67,0.33,3.4000000000000004
1980.75,9,7.95,0.34,3.8
1980.833333,10,6.69,0.34,4.3999999999999995
1980.916667,11,-1.34,0.29,3.4999999999999996
1981,12,-3.18,0.27,3.4999999999999996
1981.083333,1,-8.22,0.27,2.9000000000000004
1981.166667,2,-4.16,0.25,2.5
1981.25,3,-2.85,0.24,2.4
1981.333333,4,1.28,0.26,2.3
1981.416667,5,4.03,0.28,2
1981.5,6,7.35,0.29,2.8000000000000003
1981.583333,7,9.42,0.3,3.1
1981.666667,8,9.98,0.32,3.1
1981.75,9,6.5,0.32,3.9
1981.833333,10,4.27,0.3,4.1000000000000005
1981.916667,11,0.24,0.3,3.6000000000000005
1982,12,-1.07,0.29,3.6999999999999997
1982.083333,1,-2.43,0.29,2.6
1982.166667,2,-5.33,0.27,2
1982.25,3,-3.77,0.26,2.0999999999999996
1982.333333,4,2.68,0.28,1.9
1982.416667,5,5.64,0.28,3.0000000000000004
1982.5,6,8.64,0.31,2.8000000000000003
1982.583333,7,10.3,0.33,3.2
1982.666667,8,9.94,0.33,4.3999999999999995
1982.75,9,7.52,0.34,3.6000000000000005
1982.833333,10,5.54,0.34,4.6
1982.916667,11,3,0.34,4.6
1983,12,0.74,0.31,3.8
1983.083333,1,-0.66,0.31,3.2
1983.166667,2,0.7,0.3,3.4000000000000004
1983.25,3,0.9,0.34,1.7000000000000002
1983.333333,4,3,0.33,2.6
1983.416667,5,5.21,0.34,3.3000000000000003
1983.5,6,8.5,0.37,3.4000000000000004
1983.583333,7,10.17,0.37,3.3000000000000003
1983.666667,8,10.02,0.39,3.6999999999999997
1983.75,9,8.42,0.37,3.8
1983.833333,10,2.49,0.34,3.4999999999999996
1983.916667,11,-1.81,0.28,3.6000000000000005
1984,12,-3.2,0.27,3.1
1984.083333,1,-3.99,0.28,2.0999999999999996
1984.166667,2,-0.92,0.28,2.7
1984.25,3,0.19,0.31,1.8000000000000003
1984.333333,4,-0.81,0.32,2.0999999999999996
1984.416667,5,4.46,0.33,1.7000000000000002
1984.5,6,8.64,0.36,2.9000000000000004
1984.583333,7,10.72,0.37,2.9000000000000004
1984.666667,8,10.17,0.36,3.9
1984.75,9,8.49,0.36,4.3999999999999995
1984.833333,10,3.98,0.34,4.6
1984.916667,11,1.65,0.36,5.1
1985,12,-4.89,0.26,3.4999999999999996
1985.083333,1,-4.1,0.27,2.8000000000000003
1985.166667,2,-2.71,0.27,2.7
1985.25,3,-2.15,0.26,2.8000000000000003
1985.333333,4,0.67,0.25,2.8000000000000003
1985.416667,5,4.37,0.28,2.1999999999999997
1985.5,6,8.01,0.3,2.4
1985.583333,7,9.8,0.32,3.1
1985.666667,8,9.6,0.33,3.3000000000000003
1985.75,9,6.45,0.31,4.1000000000000005
1985.833333,10,2.12,0.3,4.3999999999999995
1985.916667,11,-1.13,0.24,4.199999999999999
1986,12,-1.91,0.27,3.6999999999999997
1986.083333,1,-1.18,0.28,3.1
1986.166667,2,-2.42,0.29,2.4
1986.25,3,-3.65,0.29,1.6
1986.333333,4,1.8,0.28,2.1999999999999997
1986.416667,5,5.11,0.28,2.6
1986.5,6,8.53,0.3,2.4
1986.583333,7,10,0.32,3.2
1986.666667,8,9.9,0.33,3.6999999999999997
1986.75,9,6.5,0.29,4.3999999999999995
1986.833333,10,3.64,0.31,3.6999999999999997
1986.916667,11,-2.16,0.28,3.3000000000000003
1987,12,-6.34,0.28,2.5
1987.083333,1,-2.73,0.28,4.300000000000001
1987.166667,2,-0.79,0.27,2.6
1987.25,3,-2.61,0.27,2.0999999999999996
1987.333333,4,1.26,0.29,2.5
