year,month,temperature,sea_level,precipitation_rate
1976.083333,1,11.86,-0.33,0.9000000000000001
1976.166667,2,11.35,-0.33,1.4000000000000001
1976.25,3,13.66,-0.36,0.3
1976.333333,4,16.13,-0.36,0.1
1976.416667,5,21.53,-0.34,0.1
1976.5,6,26.02,-0.3,0
1976.583333,7,27.5,-0.3,0
1976.666667,8,28.43,-0.3,0
1976.75,9,24.9,-0.35,0
1976.833333,10,19.82,-0.37,0.3
1976.916667,11,16.82,-0.37,0.5
1977,12,13.23,-0.36,0.8
1977.083333,1,9.31,-0.36,1.5000000000000002
1977.166667,2,13.43,-0.36,0.1
1977.25,3,16.36,-0.34,0.5
1977.333333,4,19.9,-0.32,0.1
1977.416667,5,22.49,-0.29,0.2
1977.5,6,25.41,-0.27,0
1977.583333,7,26.84,-0.26,0
1977.666667,8,28.02,-0.25,0
1977.75,9,26.29,-0.26,0
1977.833333,10,21.39,-0.27,0.4
1977.916667,11,17.27,-0.27,0.4
1978,12,14.07,-0.26,1.2
1978.083333,1,12.91,-0.26,1.2
1978.166667,2,13.42,-0.24,0.5
1978.25,3,14.82,-0.22,0.5
1978.333333,4,19.11,-0.22,0
1978.416667,5,22.02,-0.19,0.2
1978.5,6,25.83,-0.17,0
1978.583333,7,27.56,-0.15,0
1978.666667,8,26.26,-0.16,0
1978.75,9,24.85,-0.17,0
1978.833333,10,21.06,-0.19,0.1
1978.916667,11,16.77,-0.19,1.6
1979,12,11.81,-0.22,1.4000000000000001
1979.083333,1,13.28,-0.22,0.4
1979.166667,2,13.07,-0.22,0.3
1979.25,3,15.44,-0.23,0.1
1979.333333,4,18.41,-0.23,0.2
1979.416667,5,22.13,-0.21,0.2
1979.5,6,26.51,-0.19,0
1979.583333,7,29.23,-0.2,0
1979.666667,8,27.4,-0.22,0
1979.75,9,26.49,-0.23,0.1
1979.833333,10,22.04,-0.23,0.5
1979.916667,11,17.43,-0.22,1.2
1980,12,15.74,-0.21,0.5
1980.083333,1,12.93,-0.22,0.9000000000000001
1980.166667,2,12.18,-0.22,1.4000000000000001
1980.25,3,15.18,-0.21,0.4
1980.333333,4,20.38,-0.21,0.1
1980.416667,5,22.55,-0.18,0.3
1980.5,6,24.54,-0.18,0
1980.583333,7,26.43,-0.19,0
1980.666667,8,27.3,-0.21,0
1980.75,9,26.11,-0.22,0
1980.833333,10,22.84,-0.22,0
1980.916667,11,18.67,-0.22,0.8
1981,12,14.68,-0.23,1.3
1981.083333,1,13.95,-0.24,0.6
1981.166667,2,12.05,-0.25,0.6
1981.25,3,15.21,-0.25,0.4
1981.333333,4,17.66,-0.26,0.3
1981.416667,5,22.16,-0.26,0.1
1981.5,6,24.9,-0.26,0
1981.583333,7,26.65,-0.25,0
1981.666667,8,29.45,-0.26,0
1981.75,9,25.72,-0.3,0
1981.833333,10,21.98,-0.32,0.3
1981.916667,11,16.58,-0.33,0.8
1982,12,13.77,-0.33,0.3
1982.083333,1,14.18,-0.32,0.2
1982.166667,2,13.4,-0.3,0.8
1982.25,3,14.15,-0.3,1.0999999999999999
1982.333333,4,20.71,-0.28,0
1982.416667,5,22.3,-0.26,0
1982.5,6,25.31,-0.23,0
1982.583333,7,27.61,-0.23,0
1982.666667,8,28.43,-0.25,0
1982.75,9,24.79,-0.28,0.1
1982.833333,10,21.15,-0.3,0.2
1982.916667,11,17.11,-0.28,1.5000000000000002
1983,12,14.01,-0.29,0
1983.083333,1,13.58,-0.29,0.6
1983.166667,2,14.79,-0.28,0.8
1983.25,3,15.63,-0.28,0.3
1983.333333,4,18.07,-0.26,0.7000000000000001
1983.416667,5,21.39,-0.23,0.1
1983.5,6,24.99,-0.19,0
1983.583333,7,28.76,-0.19,0
1983.666667,8,27.71,-0.21,0
1983.75,9,23.62,-0.25,0
1983.833333,10,19.54,-0.28,0.4
1983.916667,11,17.68,-0.25,0.5
1984,12,14.97,-0.21,1.0999999999999999
1984.083333,1,9.63,-0.22,1
1984.166667,2,14.19,-0.22,0.7000000000000001
1984.25,3,16.6,-0.21,0.1
1984.333333,4,19.39,-0.18,0.4
1984.416667,5,21.63,-0.15,0
1984.5,6,25.04,-0.12,0
1984.583333,7,26.97,-0.08,0.2
1984.666667,8,26.61,-0.1,0
1984.75,9,25.8,-0.14,0
1984.833333,10,21.48,-0.17,0
1984.916667,11,16.85,-0.2,0.3
1985,12,11.73,-0.24,0.5
1985.083333,1,11.43,-0.25,0.9000000000000001
1985.166667,2,13.81,-0.25,0.2
1985.25,3,14.9,-0.24,0.2
1985.333333,4,19.19,-0.25,0
1985.416667,5,21.45,-0.26,0
1985.5,6,24.74,-0.24,0
1985.583333,7,29.9,-0.26,0
1985.666667,8,30.13,-0.29,0
1985.75,9,26.49,-0.32,0
1985.833333,10,22.9,-0.34,0
1985.916667,11,17.53,-0.36,0.5
1986,12,12.75,-0.36,1.7000000000000002
1986.083333,1,14.62,-0.36,0.2
1986.166667,2,12.52,-0.35,0.6
1986.25,3,15.04,-0.35,0.1
1986.333333,4,18,-0.36,0.3
1986.416667,5,23.26,-0.36,0
1986.5,6,25.24,-0.35,0
1986.583333,7,27.56,-0.35,0
1986.666667,8,28.49,-0.37,0
1986.75,9,24.85,-0.4,0.1
1986.833333,10,21.8,-0.38,0.7000000000000001
1986.916667,11,16.37,-0.38,0.9000000000000001
1987,12,11.94,-0.4,1.3
1987.083333,1,12.68,-0.41,0.6
1987.166667,2,14.43,-0.4,0.2
1987.25,3,15.33,-0.4,0.2
1987.333333,4,20.95,-0.4,0
1987.416667,5,22.71,-0.39,0.4
1987.5,6,25.13,-0.34,0.3
1987.583333,7,26.57,-0.32,0
1987.666667,8,27.67,-0.34,0
1987.75,9,26.52,-0.36,0
1987.833333,10,23.97,-0.34,0.1
1987.916667,11,18.45,-0.33,0.6
1988,12,15.3,-0.34,0.4
1988.083333,1,12.04,-0.36,1.2
1988.166667,2,14.36,-0.35,0.4
1988.25,3,18.75,-0.32,0
1988.333333,4,18.22,-0.31,0.3
1988.416667,5,23.21,-0.28,0
1988.5,6,25.16,-0.25,0.1
1988.583333,7,29.11,-0.22,0
1988.666667,8,27.36,-0.24,0
1988.75,9,27.07,-0.26,0
1988.833333,10,22.44,-0.28,0.4
1988.916667,11,19.41,-0.28,1.2
1989,12,14.33,-0.29,0.5
1989.083333,1,14.49,-0.3,0.3
1989.166667,2,14.42,-0.31,0.4
1989.25,3,17.89,-0.32,0.1
1989.333333,4,22.17,-0.32,0
1989.416667,5,21.96,-0.33,0
1989.5,6,25.5,-0.31,0
1989.583333,7,29.03,-0.3,0
1989.666667,8,28.86,-0.32,0
1989.75,9,24.69,-0.35,0
1989.833333,10,21.73,-0.34,0.2
1989.916667,11,18.56,-0.35,0.1
1990,12,14.43,-0.36,0.7000000000000001
1990.083333,1,13.5,-0.37,0.4
1990.166667,2,12.62,-0.38,0.4
1990.25,3,16.74,-0.4,0.2
1990.333333,4,21.51,-0.38,0
1990.416667,5,22.61,-0.36,0.4
1990.5,6,25.55,-0.33,0
1990.583333,7,29.02,-0.31,0
1990.666667,8,28.6,-0.33,0
1990.75,9,25.84,-0.36,0
1990.833333,10,23.87,-0.35,0.1
1990.916667,11,16.9,-0.35,1.5000000000000002
1991,12,12.59,-0.35,0.6
1991.083333,1,13.19,-0.37,0.2
1991.166667,2,14.55,-0.37,0
1991.25,3,16.04,-0.38,0.3
1991.333333,4,18.93,-0.38,0.5
1991.416667,5,22.24,-0.36,0
1991.5,6,26.28,-0.33,0.1
1991.583333,7,27.43,-0.34,0
1991.666667,8,28.97,-0.35,0
1991.75,9,25.45,-0.37,0.2
1991.833333,10,21.47,-0.39,0.8
1991.916667,11,20.08,-0.36,0
1992,12,12.7,-0.35,1.4000000000000001
1992.083333,1,12.22,-0.37,0.2
1992.166667,2,14.33,-0.37,1.3
1992.25,3,17.21,-0.36,0.2
1992.333333,4,19.26,-0.34,0.1
1992.416667,5,21.46,-0.32,0.1
1992.5,6,25.74,-0.27,0.1
1992.583333,7,26.46,-0.25,0
1992.666667,8,26.78,-0.24,0
1992.75,9,24.2,-0.25,0
1992.833333,10,21.08,-0.27,0
1992.916667,11,17.43,-0.27,1
1993,12,13.66,-0.28,1.2
1993.083333,1,14.21,-0.28,0.3
1993.166667,2,14.71,-0.26,0.2
1993.25,3,17.43,-0.26,0.1
1993.333333,4,20.88,-0.25,0.1
1993.416667,5,21.94,-0.24,0.1
1993.5,6,24.39,-0.24,0
1993.583333,7,28.87,-0.24,0
1993.666667,8,28.52,-0.27,0
1993.75,9,25.95,-0.3,0.1
1993.833333,10,22.07,-0.33,0
1993.916667,11,17.58,-0.34,0.3
1994,12,14.61,-0.35,1.7000000000000002
1994.083333,1,11.04,-0.36,1.0999999999999999
1994.166667,2,14.11,-0.38,0.2
1994.25,3,16.41,-0.37,0
1994.333333,4,18.06,-0.37,0.1
1994.416667,5,21.52,-0.36,0.1
1994.5,6,25.56,-0.33,0
1994.583333,7,28.06,-0.35,0
1994.666667,8,29.03,-0.37,0
1994.75,9,26.89,-0.41,0
1994.833333,10,23.49,-0.45,0
1994.916667,11,19.13,-0.44,0.5
1995,12,15.02,-0.44,0.6
1995.083333,1,11.76,-0.44,1.4000000000000001
1995.166667,2,13.23,-0.45,0.6
1995.25,3,13.37,-0.46,0.6
1995.333333,4,21.05,-0.44,0.2
1995.416667,5,22.08,-0.42,0
1995.5,6,25.55,-0.39,0
1995.583333,7,27.74,-0.39,0
1995.666667,8,29.2,-0.42,0
1995.75,9,27.08,-0.45,0.2
1995.833333,10,20.68,-0.46,1.0999999999999999
1995.916667,11,18.13,-0.46,0.1
1996,12,13.02,-0.47,0.3
1996.083333,1,12.17,-0.47,0.6
1996.166667,2,15.22,-0.42,0.3
1996.25,3,17.93,-0.39,0.1
1996.333333,4,21.96,-0.38,0
1996.416667,5,22.63,-0.37,0.1
1996.5,6,27.94,-0.34,0.1
1996.583333,7,27.73,-0.34,0
1996.666667,8,28.98,-0.35,0
1996.75,9,25.74,-0.38,0.1
1996.833333,10,23.44,-0.38,0
1996.916667,11,18.01,-0.37,0.7000000000000001
1997,12,14.34,-0.39,1.3
1997.083333,1,12.93,-0.39,1.0999999999999999
1997.166667,2,14.27,-0.4,0.1
1997.25,3,14.77,-0.4,0.7000000000000001
1997.333333,4,19.35,-0.39,0.2
1997.416667,5,23.65,-0.36,0.5
1997.5,6,25.77,-0.33,0
1997.583333,7,28.28,-0.31,0
1997.666667,8,28.93,-0.33,0
1997.75,9,23.58,-0.38,0.1
1997.833333,10,21.09,-0.41,0.1
1997.916667,11,16.88,-0.41,0.2
1998,12,15.25,-0.4,0.6
1998.083333,1,12.5,-0.4,1.0999999999999999
1998.166667,2,13.23,-0.4,0.7000000000000001
1998.25,3,17.18,-0.4,0.1
1998.333333,4,21.77,-0.38,0.6
1998.416667,5,24.47,-0.37,0.2
1998.5,6,25.35,-0.35,0.2
1998.583333,7,28.93,-0.32,0
1998.666667,8,29.31,-0.33,0
1998.75,9,27.4,-0.35,0
1998.833333,10,21.99,-0.36,0.2
1998.916667,11,16.94,-0.39,0.4
1999,12,12.59,-0.4,0.8
1999.083333,1,12.34,-0.41,1
1999.166667,2,13.3,-0.41,0.3
1999.25,3,14.33,-0.41,0.4
1999.333333,4,19.48,-0.4,0.1
1999.416667,5,22.07,-0.38,0.2
1999.5,6,26.96,-0.35,0
1999.583333,7,30.45,-0.36,0
1999.666667,8,28.85,-0.4,0
1999.75,9,25.11,-0.4,0.1
1999.833333,10,18.69,-0.41,0
1999.916667,11,16.85,-0.41,0.6
2000,12,12.99,-0.41,0.8
2000.083333,1,14.3,-0.41,0.3
2000.166667,2,15.54,-0.41,0.3
2000.25,3,15.75,-0.4,0.3
2000.333333,4,19.82,-0.38,0.5
2000.416667,5,23.03,-0.37,0.2
2000.5,6,27.17,-0.35,0
2000.583333,7,29.45,-0.36,0
2000.666667,8,29.63,-0.37,0
2000.75,9,26.09,-0.39,0.1
2000.833333,10,22.66,-0.41,0.2
2000.916667,11,18.83,-0.42,0.8
2001,12,14.9,-0.43,1.3
2001.083333,1,14.05,-0.42,0.6
2001.166667,2,15.77,-0.42,0.1
2001.25,3,17.76,-0.39,0.2
2001.333333,4,19.24,-0.38,0.4
2001.416667,5,23.14,-0.34,0.4
2001.5,6,26,-0.31,0
2001.583333,7,29.05,-0.31,0
2001.666667,8,29.41,-0.34,0
2001.75,9,26.28,-0.39,0
2001.833333,10,23.12,-0.38,0.3
2001.916667,11,19.1,-0.35,0.7000000000000001
2002,12,14.65,-0.34,1.6
2002.083333,1,14.21,-0.32,1.0999999999999999
2002.166667,2,10.39,-0.32,2.1999999999999997
2002.25,3,16.06,-0.31,0.3
2002.333333,4,18.72,-0.29,0.2
2002.416667,5,22.14,-0.25,0.2
2002.5,6,25.2,-0.23,0.1
2002.583333,7,28.32,-0.21,0
2002.666667,8,28.64,-0.23,0
2002.75,9,26.81,-0.26,0
2002.833333,10,20.64,-0.29,0
2002.916667,11,15.46,-0.31,0.6
2003,12,13.18,-0.34,0.3
2003.083333,1,14.09,-0.33,0.5
2003.166667,2,14.17,-0.33,0.1
2003.25,3,16.55,-0.32,0.1
2003.333333,4,20.78,-0.3,0
2003.416667,5,25.16,-0.29,0
2003.5,6,26.55,-0.27,0
2003.583333,7,28.53,-0.27,0
2003.666667,8,30.53,-0.3,0
2003.75,9,26.31,-0.32,0.1
2003.833333,10,23.12,-0.34,0
2003.916667,11,17.75,-0.36,0.7000000000000001
2004,12,14.59,-0.38,0.3
2004.083333,1,13.79,-0.37,0.3
2004.166667,2,13.86,-0.38,0.4
2004.25,3,16.24,-0.36,0.3
2004.333333,4,21.65,-0.34,0.2
2004.416667,5,22.63,-0.33,0
2004.5,6,26.11,-0.3,0
2004.583333,7,28.65,-0.3,0
2004.666667,8,28.46,-0.32,0
2004.75,9,26.69,-0.34,0.1
2004.833333,10,21.68,-0.35,0.4
2004.916667,11,16.7,-0.36,1.9
2005,12,14.18,-0.34,0.7000000000000001
2005.083333,1,13.65,-0.34,0.5
2005.166667,2,13.62,-0.34,0.4
2005.25,3,15.56,-0.35,0.1
2005.333333,4,20.82,-0.33,0.2
2005.416667,5,22.17,-0.31,0.2
2005.5,6,25.15,-0.28,0
2005.583333,7,28.49,-0.28,0
2005.666667,8,28.61,-0.3,0
2005.75,9,25.57,-0.3,0.1
2005.833333,10,22.52,-0.3,0.2
2005.916667,11,17.87,-0.3,1.0999999999999999
2006,12,15.35,-0.3,0.4
2006.083333,1,12.98,-0.31,1.5000000000000002
2006.166667,2,14.01,-0.32,0.5
2006.25,3,15.55,-0.31,0
2006.333333,4,21.46,-0.29,0
2006.416667,5,23.67,-0.26,0.1
2006.5,6,24.96,-0.23,0
2006.583333,7,27.6,-0.22,0.1
2006.666667,8,29.92,-0.24,0
2006.75,9,25.73,-0.28,0
2006.833333,10,20.22,-0.34,0.4
2006.916667,11,17.18,-0.36,0.4
2007,12,15.25,-0.37,0.3
2007.083333,1,12.2,-0.37,1.4000000000000001
2007.166667,2,13.39,-0.38,0.1
2007.25,3,18.67,-0.38,0.1
2007.333333,4,19.54,-0.37,0.3
2007.416667,5,24.3,-0.33,0.2
2007.5,6,26.39,-0.32,0
2007.583333,7,27.95,-0.31,0
2007.666667,8,28.74,-0.31,0
2007.75,9,25.98,-0.33,0
2007.833333,10,21.63,-0.35,0
2007.916667,11,17.32,-0.36,0
2008,12,14.1,-0.38,1
2008.083333,1,13.24,-0.41,0.3
2008.166667,2,14.83,-0.4,0.2
2008.25,3,16.22,-0.41,0
2008.333333,4,19.35,-0.41,0.1
2008.416667,5,23.41,-0.4,0
2008.5,6,25.56,-0.38,0
2008.583333,7,28.98,-0.36,0
2008.666667,8,28.82,-0.37,0
2008.75,9,25.88,-0.4,0
2008.833333,10,22.27,-0.42,0.1
2008.916667,11,17.93,-0.4,0.3
2009,12,15.82,-0.38,0.1
2009.083333,1,12.73,-0.38,0.7000000000000001
2009.166667,2,13.11,-0.37,0.9000000000000001
2009.25,3,16.39,-0.35,0.5
2009.333333,4,18.34,-0.34,0.2
2009.416667,5,22.64,-0.31,0.1
2009.5,6,24.31,-0.27,0.4
2009.583333,7,30.12,-0.27,0
2009.666667,8,28.47,-0.3,0
2009.75,9,27.92,-0.34,0
2009.833333,10,22.96,-0.37,0
2009.916667,11,19.8,-0.38,0.4
2010,12,14.68,-0.4,1.2
2010.083333,1,12.9,-0.4,0.8
2010.166667,2,13.89,-0.41,0.7000000000000001
2010.25,3,13.95,-0.43,0.8
2010.333333,4,20.37,-0.43,0.1
2010.416667,5,22.4,-0.43,0.3
2010.5,6,26.92,-0.39,0.4
2010.583333,7,28.51,-0.39,0.1
2010.666667,8,29.65,-0.4,0
2010.75,9,24.65,-0.42,0.4
2010.833333,10,21.54,-0.41,0.1
2010.916667,11,17.45,-0.41,0.2
2011,12,12.97,-0.42,1
2011.083333,1,12.42,-0.43,0.4
2011.166667,2,13.01,-0.43,0.2
2011.25,3,18.33,-0.41,0.1
2011.333333,4,18.98,-0.39,0.1
2011.416667,5,23.6,-0.37,0
2011.5,6,24.88,-0.34,0
2011.583333,7,28.37,-0.33,0
2011.666667,8,29.28,-0.35,0
2011.75,9,26.36,-0.38,0
2011.833333,10,21.35,-0.41,0.1
2011.916667,11,16.92,-0.41,0.5
2012,12,14.21,-0.42,0.7000000000000001
2012.083333,1,13.07,-0.43,0.5
2012.166667,2,13.44,-0.43,0.2
2012.25,3,15.12,-0.43,0.2
2012.333333,4,18.58,-0.43,0.4
2012.416667,5,24.21,-0.41,0
2012.5,6,25.25,-0.39,0.1
2012.583333,7,28.38,-0.37,0
2012.666667,8,30.87,-0.39,0
2012.75,9,27.93,-0.42,0.1
2012.833333,10,22.94,-0.43,0.1
2012.916667,11,17.73,-0.42,0.8
2013,12,14.67,-0.44,0.3
2013.083333,1,13.94,-0.46,0.1
2013.166667,2,17.53,-0.45,0
2013.25,3,18.3,-0.42,0.2
2013.333333,4,22.37,-0.41,0
2013.416667,5,22.23,-0.39,0.1
2013.5,6,25.4,-0.37,0
2013.583333,7,29.96,-0.36,0
2013.666667,8,29.63,-0.38,0
2013.75,9,27.66,-0.43,0
2013.833333,10,22.19,-0.44,0.6
2013.916667,11,18.02,-0.44,0.7000000000000001
2014,12,14.11,-0.46,1.0999999999999999
2014.083333,1,12.81,-0.48,1
2014.166667,2,16.62,-0.47,0.1
2014.25,3,14.91,-0.46,0.8
2014.333333,4,17.04,-0.46,0.5
2014.416667,5,22.89,-0.46,0
2014.5,6,25.39,-0.43,0
2014.583333,7,27.76,-0.42,0
2014.666667,8,28.02,-0.44,0
2014.75,9,27.28,-0.44,0
2014.833333,10,21.1,-0.47,0.1
2014.916667,11,17.33,-0.46,0.3
2015,12,12.87,-0.47,1.3
2015.083333,1,12.65,-0.47,0.5
2015.166667,2,15.6,-0.46,0.4
2015.25,3,17.15,-0.46,0.3
2015.333333,4,19.06,-0.46,0.1
2015.416667,5,21.59,-0.45,0.1
2015.5,6,26.07,-0.42,0
2015.583333,7,28.86,-0.41,0
2015.666667,8,27.58,-0.42,0
2015.75,9,26.48,-0.46,0
2015.833333,10,26.83,-0.45,0
2015.916667,11,18.66,-0.46,0.7000000000000001
2016,12,16.01,-0.47,0.3
2016.083333,1,14.85,-0.47,0.2
2016.166667,2,14.38,-0.5,0.5
2016.25,3,17.68,-0.49,0.1
2016.333333,4,19.83,-0.48,0.4
2016.416667,5,23.59,-0.46,0
2016.5,6,24.99,-0.44,0.1
2016.583333,7,28.26,-0.42,0
2016.666667,8,29.21,-0.43,0
2016.75,9,26.07,-0.46,0
2016.833333,10,22.53,-0.47,0.1
2016.916667,11,17.67,-0.46,0.6
2017,12,13.44,-0.47,0.2
2017.083333,1,13.47,-0.5,0.2
2017.166667,2,13.94,-0.5,0.2
2017.25,3,17.5,-0.5,0.3
2017.333333,4,20.08,-0.5,0
2017.416667,5,23.13,-0.47,0.1
2017.5,6,25.84,-0.46,0
2017.583333,7,30.1,-0.45,0
2017.666667,8,28.27,-0.45,0
2017.75,9,26.73,-0.49,0
2017.833333,10,22.99,-0.5,0.1
2017.916667,11,17.81,-0.51,0.3
2018,12,15.38,-0.51,0.2
2018.083333,1,15.84,-0.52,0.1
2018.166667,2,15.48,-0.49,0.4
2018.25,3,15.43,-0.49,0.8
2018.333333,4,20.32,-0.5,0.1
2018.416667,5,21.77,-0.46,0
2018.5,6,26.49,-0.45,0
2018.583333,7,27.17,-0.44,0
2018.666667,8,29.18,-0.44,0
2018.75,9,26.83,-0.44,0
2018.833333,10,21.76,-0.46,0
2018.916667,11,16.86,-0.48,0.8
2019,12,16.01,-0.47,0.1
2019.083333,1,11.96,-0.47,1.5000000000000002
2019.166667,2,15.43,-0.46,0.1
2019.25,3,17.05,-0.44,0
2019.333333,4,20.15,-0.41,0
2019.416667,5,22.16,-0.39,0.1
2019.5,6,24.82,-0.38,0
2019.583333,7,27.38,-0.39,0
2019.666667,8,29.88,-0.41,0
2019.75,9,26.34,-0.45,0
2019.833333,10,25.14,-0.45,0
2019.916667,11,18.84,-0.45,1.3
2020,12,15.73,-0.46,1.0999999999999999
2020.083333,1,14.26,-0.46,0.8
2020.166667,2,15.15,-0.47,0.8
2020.25,3,15.55,-0.48,0.3
2020.333333,4,20.48,-0.45,0.2
2020.416667,5,20.22,-0.44,0.3
2020.5,6,25.14,-0.42,0
2020.583333,7,29.58,-0.41,0
2020.666667,8,29.19,-0.42,0.1
2020.75,9,28.09,-0.42,0
2020.833333,10,22.75,-0.45,0.1
2020.916667,11,19.51,-0.44,0.4
2021,12,15.47,-0.44,0.8
2021.083333,1,11.93,-0.45,1.8000000000000003
