year,month,temperature,sea_level,precipitation_rate
1976.083333,1,2.87,0.18,2.7
1976.166667,2,2.84,0.18,2.7
1976.25,3,2.52,0.17,2.7
1976.333333,4,4.14,0.18,2.7
1976.416667,5,5.7,0.19,2.8000000000000003
1976.5,6,7.52,0.19,2.9000000000000004
1976.583333,7,7.72,0.2,2.9000000000000004
1976.666667,8,7.25,0.2,2.9000000000000004
1976.75,9,5.84,0.2,2.8000000000000003
1976.833333,10,4.28,0.21,2.8000000000000003
1976.916667,11,3.32,0.2,2.7
1977,12,3.3,0.19,2.7
1977.083333,1,3.6,0.19,2.7
1977.166667,2,3.55,0.18,2.7
1977.25,3,3.63,0.18,2.7
1977.333333,4,4.23,0.18,2.7
1977.416667,5,6.13,0.19,2.7
1977.5,6,7.71,0.2,2.9000000000000004
1977.583333,7,7.87,0.2,2.9000000000000004
1977.666667,8,7.13,0.2,2.8000000000000003
1977.75,9,6.06,0.2,2.8000000000000003
1977.833333,10,4.42,0.2,2.8000000000000003
1977.916667,11,4.04,0.2,2.7
1978,12,3.39,0.19,2.7
1978.083333,1,3.52,0.18,2.7
1978.166667,2,3.07,0.18,2.8000000000000003
1978.25,3,3.37,0.17,2.7
1978.333333,4,4.76,0.17,2.8000000000000003
1978.416667,5,6.09,0.18,2.8000000000000003
1978.5,6,7.66,0.19,2.9000000000000004
1978.583333,7,7.77,0.2,2.9000000000000004
1978.666667,8,7.21,0.2,2.9000000000000004
1978.75,9,5.82,0.2,2.8000000000000003
1978.833333,10,4.79,0.2,2.8000000000000003
1978.916667,11,3.76,0.2,2.7
1979,12,3.55,0.2,2.7
1979.083333,1,3.36,0.19,2.7
1979.166667,2,2.95,0.18,2.7
1979.25,3,3.63,0.18,2.7
1979.333333,4,4.3,0.18,2.7
1979.416667,5,5.87,0.18,2.8000000000000003
1979.5,6,7.25,0.19,2.9000000000000004
1979.583333,7,7.89,0.2,2.9000000000000004
1979.666667,8,7.08,0.2,2.9000000000000004
1979.75,9,6.18,0.21,2.8000000000000003
1979.833333,10,4.48,0.21,2.7
1979.916667,11,3.62,0.2,2.7
1980,12,3.2,0.2,2.7
1980.083333,1,3.23,0.19,2.7
1980.166667,2,3.76,0.18,2.8000000000000003
1980.25,3,3.52,0.18,2.8000000000000003
1980.333333,4,4.36,0.18,2.8000000000000003
1980.416667,5,6.26,0.19,2.8000000000000003
1980.5,6,7.37,0.19,2.9000000000000004
1980.583333,7,7.84,0.2,2.9000000000000004
1980.666667,8,7.41,0.2,2.9000000000000004
1980.75,9,5.79,0.2,2.8000000000000003
1980.833333,10,4.56,0.2,2.7
1980.916667,11,3.6,0.2,2.7
1981,12,3.47,0.19,2.7
1981.083333,1,3.29,0.19,2.7
1981.166667,2,3.51,0.18,2.8000000000000003
1981.25,3,2.98,0.17,2.7
1981.333333,4,4.23,0.17,2.8000000000000003
1981.416667,5,6.1,0.18,2.8000000000000003
1981.5,6,7.25,0.19,2.8000000000000003
1981.583333,7,7.71,0.2,2.9000000000000004
1981.666667,8,7.13,0.2,2.8000000000000003
1981.75,9,6.21,0.2,2.8000000000000003
1981.833333,10,4.62,0.2,2.8000000000000003
1981.916667,11,3.73,0.2,2.7
1982,12,3.74,0.19,2.7
1982.083333,1,3.88,0.19,2.7
1982.166667,2,3.62,0.18,2.8000000000000003
1982.25,3,3.52,0.17,2.8000000000000003
1982.333333,4,4.73,0.17,2.7
1982.416667,5,6.44,0.18,2.8000000000000003
1982.5,6,7.15,0.19,2.8000000000000003
1982.583333,7,7.58,0.2,2.9000000000000004
1982.666667,8,7.43,0.2,2.9000000000000004
1982.75,9,6.23,0.21,2.8000000000000003
1982.833333,10,4.54,0.21,2.7
1982.916667,11,3.83,0.2,2.7
1983,12,3.83,0.2,2.7
1983.083333,1,3.7,0.19,2.7
1983.166667,2,3.73,0.18,2.8000000000000003
1983.25,3,3.12,0.18,2.8000000000000003
1983.333333,4,4.29,0.18,2.8000000000000003
1983.416667,5,6.11,0.19,2.8000000000000003
1983.5,6,7.09,0.19,2.8000000000000003
1983.583333,7,7.71,0.2,2.9000000000000004
1983.666667,8,7.06,0.21,2.9000000000000004
1983.75,9,5.77,0.21,2.8000000000000003
1983.833333,10,4.53,0.21,2.7
1983.916667,11,3.43,0.2,2.7
1984,12,3.58,0.2,2.7
1984.083333,1,3.84,0.19,2.8000000000000003
1984.166667,2,3.39,0.18,2.8000000000000003
1984.25,3,3.22,0.17,2.8000000000000003
1984.333333,4,4.47,0.18,2.8000000000000003
1984.416667,5,6.25,0.18,2.8000000000000003
1984.5,6,7.27,0.19,2.9000000000000004
1984.583333,7,7.63,0.19,2.9000000000000004
1984.666667,8,7.25,0.2,2.9000000000000004
1984.75,9,5.69,0.2,2.8000000000000003
1984.833333,10,4.18,0.2,2.8000000000000003
1984.916667,11,4.01,0.2,2.7
1985,12,3.65,0.19,2.7
1985.083333,1,3.44,0.18,2.7
1985.166667,2,3.23,0.17,2.7
1985.25,3,2.44,0.17,2.7
1985.333333,4,4.13,0.17,2.7
1985.416667,5,6.01,0.18,2.8000000000000003
1985.5,6,7.44,0.18,2.8000000000000003
1985.583333,7,7.87,0.19,2.9000000000000004
1985.666667,8,7.04,0.2,2.8000000000000003
1985.75,9,5.84,0.2,2.8000000000000003
1985.833333,10,4.38,0.2,2.8000000000000003
1985.916667,11,4.07,0.19,2.7
1986,12,3.88,0.19,2.7
1986.083333,1,3.53,0.18,2.7
1986.166667,2,3.19,0.17,2.8000000000000003
1986.25,3,3,0.17,2.8000000000000003
