year,month,temperature,sea_level,precipitation_rate
1976.083333,1,22.97,0.71,0.2
1976.166667,2,23.87,0.71,0.1
1976.25,3,24.9,0.69,0
1976.333333,4,28.32,0.71,0.5
1976.416667,5,28.19,0.76,3.0000000000000004
1976.5,6,27.06,0.75,8.799999999999999
1976.583333,7,25.2,0.74,9.899999999999999
1976.666667,8,24.71,0.72,6.000000000000001
1976.75,9,25.2,0.69,3.6999999999999997
1976.833333,10,25.73,0.69,4.500000000000001
1976.916667,11,24.32,0.71,0.7000000000000001
1977,12,21.72,0.72,0.3
1977.083333,1,21.5,0.69,0.2
1977.166667,2,23.64,0.68,0
1977.25,3,26.01,0.7,0.2
1977.333333,4,27.69,0.73,0.8
1977.416667,5,28.38,0.73,1.2
1977.5,6,27,0.7,6.1
1977.583333,7,25.78,0.71,9.3
1977.666667,8,25.05,0.7,8.200000000000001
1977.75,9,25.2,0.69,6.6000000000000005
1977.833333,10,25.22,0.69,1.9
1977.916667,11,24.5,0.7,2.6
1978,12,22.94,0.71,4.8
1978.083333,1,22.58,0.72,1.2
1978.166667,2,23.48,0.74,0
1978.25,3,25.37,0.73,0
1978.333333,4,27.81,0.74,0.4
1978.416667,5,28.52,0.76,1.6
1978.5,6,27.31,0.74,4.6
1978.583333,7,26,0.71,6.1
1978.666667,8,25.45,0.7,6.7
1978.75,9,26.15,0.69,11.299999999999999
1978.833333,10,25.68,0.66,4.300000000000001
1978.916667,11,24.07,0.67,1.4000000000000001
1979,12,21.5,0.7,0.2
1979.083333,1,22.91,0.68,0.3
1979.166667,2,23.95,0.68,0.2
1979.25,3,26.02,0.7,0.1
1979.333333,4,27.63,0.73,0.6
1979.416667,5,27.94,0.75,0.9000000000000001
1979.5,6,27.35,0.74,5.5
1979.583333,7,25.86,0.73,7.7
1979.666667,8,25.71,0.71,7.5
1979.75,9,25.56,0.68,5.8999999999999995
1979.833333,10,25.51,0.67,7.5
1979.916667,11,24.57,0.69,1
1980,12,22.79,0.71,1.0999999999999999
1980.083333,1,22.21,0.71,1
1980.166667,2,23.89,0.71,0.1
1980.25,3,26.13,0.73,0.1
1980.333333,4,28.47,0.74,0.7000000000000001
1980.416667,5,28.7,0.76,2.3
1980.5,6,28.62,0.74,4.6
1980.583333,7,25.67,0.7,8.200000000000001
1980.666667,8,25.1,0.69,4.1000000000000005
1980.75,9,25.78,0.67,5.800000000000001
1980.833333,10,25.36,0.65,3.6000000000000005
1980.916667,11,24.13,0.65,2.8000000000000003
1981,12,22.4,0.67,1.2
1981.083333,1,22.35,0.66,0.1
1981.166667,2,23.68,0.66,0.7000000000000001
