year,month,temperature,sea_level,precipitation_rate
1976.083333,1,2.6,0.54,4
1976.166667,2,2.24,0.52,3.0000000000000004
1976.25,3,2.76,0.5,4.6
1976.333333,4,7.42,0.51,3.6999999999999997
1976.416667,5,13.15,0.53,0.9000000000000001
1976.5,6,15.69,0.54,0.8
1976.583333,7,20.64,0.55,0.1
1976.666667,8,21.85,0.55,0
1976.75,9,17.59,0.57,1.7000000000000002
1976.833333,10,11.06,0.57,0.8
1976.916667,11,4.07,0.55,4.3999999999999995
1977,12,3.51,0.52,5.6000000000000005
1977.083333,1,2.67,0.5,2.9000000000000004
1977.166667,2,4.29,0.51,6.2
1977.25,3,4.74,0.51,5.3
1977.333333,4,6,0.52,3.6999999999999997
1977.416667,5,12.45,0.53,1
1977.5,6,15.74,0.54,1.0999999999999999
1977.583333,7,19.96,0.54,0.4
1977.666667,8,19.94,0.55,0.2
1977.75,9,15.89,0.56,0.3
1977.833333,10,13.8,0.56,1.7000000000000002
1977.916667,11,7.1,0.55,5.1
1978,12,3.23,0.53,3.1
1978.083333,1,4.04,0.51,7.200000000000001
1978.166667,2,4.86,0.52,4.3999999999999995
1978.25,3,6.91,0.54,4.7
1978.333333,4,9.16,0.56,2.9000000000000004
1978.416667,5,11.93,0.57,1.8000000000000003
1978.5,6,15.35,0.57,1.8000000000000003
1978.583333,7,19.87,0.57,0.5
1978.666667,8,21.14,0.58,0.3
1978.75,9,19.41,0.6,1.3
1978.833333,10,10.6,0.6,1.4000000000000001
1978.916667,11,7.41,0.59,4.1000000000000005
1979,12,2.64,0.56,4.9
1979.083333,1,2.43,0.54,5
1979.166667,2,5.57,0.52,5.8999999999999995
1979.25,3,6.05,0.53,2.3
1979.333333,4,7.13,0.54,5.5
1979.416667,5,11.73,0.55,3.4999999999999996
1979.5,6,15.76,0.56,1.7000000000000002
1979.583333,7,20.87,0.57,0.5
1979.666667,8,20.74,0.57,0.2
1979.75,9,15.33,0.58,0.7000000000000001
1979.833333,10,12.53,0.59,1.0999999999999999
1979.916667,11,6.6,0.57,2.0999999999999996
1980,12,2.47,0.54,5.3
1980.083333,1,2.94,0.51,7.3999999999999995
1980.166667,2,3.85,0.5,5.800000000000001
1980.25,3,4.89,0.51,4.3999999999999995
1980.333333,4,6.93,0.52,2.1999999999999997
1980.416667,5,9.96,0.54,3.1
1980.5,6,16.35,0.55,1.2
1980.583333,7,20.16,0.55,1
1980.666667,8,19.61,0.55,0.3
1980.75,9,18.98,0.58,0.9000000000000001
1980.833333,10,14.18,0.59,0.8
1980.916667,11,9.65,0.59,4
1981,12,4.4,0.56,7.3999999999999995
1981.083333,1,2.66,0.54,5.4
1981.166667,2,4.24,0.52,4.3999999999999995
1981.25,3,3.02,0.5,4.1000000000000005
1981.333333,4,8.05,0.51,1.8000000000000003
1981.416667,5,12.75,0.53,1.4000000000000001
1981.5,6,15.68,0.54,0.8
1981.583333,7,20.27,0.55,0.4
1981.666667,8,20.83,0.56,0.2
1981.75,9,17.96,0.56,0.1
1981.833333,10,12.38,0.57,1.3
1981.916667,11,6.5,0.56,4.1000000000000005
1982,12,2.32,0.54,4
1982.083333,1,0.78,0.51,3.0000000000000004
1982.166667,2,3.59,0.5,3.0000000000000004
1982.25,3,6.61,0.5,2.3
1982.333333,4,7.51,0.52,3.6000000000000005
1982.416667,5,11.84,0.53,2.0999999999999996
1982.5,6,16.57,0.54,0.7000000000000001
1982.583333,7,19.62,0.55,1.0999999999999999
1982.666667,8,21.06,0.56,0.2
1982.75,9,18.53,0.57,0.5
1982.833333,10,12.55,0.58,1.8000000000000003
1982.916667,11,6.79,0.56,5.4
1983,12,6.24,0.55,0.4
1983.083333,1,5.66,0.54,4.3999999999999995
1983.166667,2,7.55,0.54,5.2
1983.25,3,6.14,0.55,6.4
1983.333333,4,8.51,0.55,2.7
1983.416667,5,9.75,0.56,2.5
1983.5,6,14.45,0.56,2.1999999999999997
1983.583333,7,17.73,0.56,1.5000000000000002
1983.666667,8,18.89,0.58,0.7000000000000001
1983.75,9,15.78,0.59,0.7000000000000001
1983.833333,10,12.41,0.6,2.3
1983.916667,11,7.08,0.59,3.1
1984,12,4.35,0.56,4.8
1984.083333,1,5,0.54,9.700000000000001
1984.166667,2,4.89,0.54,6.8999999999999995
1984.25,3,5.09,0.57,7.3999999999999995
1984.333333,4,7.14,0.58,1.9
1984.416667,5,10.53,0.57,3.0000000000000004
1984.5,6,16.72,0.57,2.7
1984.583333,7,21.01,0.57,1.7000000000000002
1984.666667,8,18.01,0.57,2
1984.75,9,17.85,0.59,0.1
1984.833333,10,12.94,0.6,0.6
1984.916667,11,8.57,0.6,2.5
1985,12,5.23,0.57,5.7
1985.083333,1,2.75,0.53,6.2
1985.166667,2,2.02,0.5,2.8000000000000003
1985.25,3,4.42,0.5,2.8000000000000003
1985.333333,4,5.46,0.5,4.300000000000001
1985.416667,5,10.39,0.52,1.2
1985.5,6,15.54,0.54,0.7000000000000001
1985.583333,7,19.17,0.56,0.5
1985.666667,8,21.16,0.58,0.3
1985.75,9,18.02,0.58,0.9000000000000001
1985.833333,10,12.77,0.58,0.8
1985.916667,11,8.97,0.57,2.3
1986,12,5.43,0.56,4
1986.083333,1,4.81,0.55,5.1
1986.166667,2,3.92,0.52,5.2
1986.25,3,2.86,0.51,3.6999999999999997
1986.333333,4,5.88,0.51,3.9
1986.416667,5,10.42,0.52,2
1986.5,6,15.82,0.54,1.3
