year,month,temperature,sea_level,precipitation_rate
1976.083333,1,22.89,0.82,2.6
1976.166667,2,22.89,0.82,4.7
1976.25,3,22.26,0.83,3.6000000000000005
1976.333333,4,18.63,0.83,1.2
1976.416667,5,15.91,0.82,2.4
1976.5,6,14.85,0.82,2.9000000000000004
1976.583333,7,13.89,0.83,3.3000000000000003
1976.666667,8,14.42,0.8,1.2
1976.75,9,16.07,0.8,1.4000000000000001
1976.833333,10,18.7,0.8,1.7000000000000002
1976.916667,11,20.56,0.8,0.9000000000000001
1977,12,21.82,0.82,1.9
1977.083333,1,24.37,0.83,2.4
1977.166667,2,24.41,0.86,1.5000000000000002
1977.25,3,22.88,0.87,1.7000000000000002
1977.333333,4,20.22,0.87,1.2
1977.416667,5,17.66,0.87,1.0999999999999999
1977.5,6,15.33,0.85,2.7
1977.583333,7,13.72,0.83,2.8000000000000003
1977.666667,8,14.65,0.81,1
1977.75,9,17.09,0.82,1.5000000000000002
1977.833333,10,18.65,0.81,1.9
1977.916667,11,19.75,0.81,1.0999999999999999
1978,12,21.63,0.82,1.9
1978.083333,1,23.75,0.84,1.6
1978.166667,2,24.29,0.86,0.9000000000000001
1978.25,3,23.84,0.87,1.9
1978.333333,4,20.26,0.87,1.6
1978.416667,5,17.4,0.86,1.9
1978.5,6,15.48,0.84,2.5
1978.583333,7,13.61,0.78,2.5
1978.666667,8,15.32,0.8,2.3
1978.75,9,16.63,0.79,1.7000000000000002
1978.833333,10,18.29,0.78,2.1999999999999997
1978.916667,11,21.57,0.79,1.5000000000000002
1979,12,23.07,0.79,2.6
1979.083333,1,24.12,0.81,2.9000000000000004
1979.166667,2,24.32,0.8,1.4000000000000001
1979.25,3,22.92,0.8,2.1999999999999997
1979.333333,4,20.27,0.8,2
1979.416667,5,16.62,0.79,2.0999999999999996
1979.5,6,15.1,0.76,2.3
1979.583333,7,13.98,0.75,2.4
1979.666667,8,14.24,0.75,2.6
1979.75,9,17.1,0.73,1.4000000000000001
1979.833333,10,19.13,0.75,0.8
1979.916667,11,21.18,0.75,1.3
1980,12,23.06,0.76,1.8000000000000003
1980.083333,1,23.62,0.78,3.1
1980.166667,2,23.19,0.8,1.8000000000000003
1980.25,3,22.77,0.81,1.4000000000000001
1980.333333,4,20.16,0.81,1.7000000000000002
1980.416667,5,17.69,0.8,1.9
1980.5,6,15.35,0.8,2.0999999999999996
1980.583333,7,15.19,0.78,1.8000000000000003
1980.666667,8,15.55,0.78,1.7000000000000002
1980.75,9,17.66,0.8,1.3
1980.833333,10,19.39,0.81,1.3
1980.916667,11,20.25,0.8,2
1981,12,21.93,0.81,1.8000000000000003
1981.083333,1,23.87,0.82,2.1999999999999997
1981.166667,2,24.23,0.83,3.8
1981.25,3,23.21,0.85,3.4999999999999996
1981.333333,4,20.94,0.85,2.1999999999999997
1981.416667,5,17.63,0.85,2
1981.5,6,15.43,0.84,3.4000000000000004
1981.583333,7,13.76,0.82,2.9000000000000004
1981.666667,8,14.52,0.82,2.4
1981.75,9,15.12,0.8,2.4
1981.833333,10,17.39,0.81,2.9000000000000004
1981.916667,11,20.69,0.82,1.8000000000000003
1982,12,21.83,0.82,3.2
1982.083333,1,23.94,0.84,1.7000000000000002
1982.166667,2,24.27,0.85,1.8000000000000003
1982.25,3,23.36,0.85,2.4
1982.333333,4,20.32,0.86,2.9000000000000004
1982.416667,5,16.88,0.85,2.3
1982.5,6,15.53,0.84,2
1982.583333,7,14.26,0.83,2.7
1982.666667,8,14.09,0.79,1.6
1982.75,9,16.31,0.79,2.7
1982.833333,10,18.84,0.8,1.2
1982.916667,11,20.81,0.79,1.2
1983,12,22.16,0.8,1.7000000000000002
1983.083333,1,23.82,0.83,2.3
1983.166667,2,22.71,0.85,3.4999999999999996
1983.25,3,22.33,0.86,3.8
1983.333333,4,20.05,0.86,1.9
1983.416667,5,17.43,0.86,1.6
1983.5,6,15.25,0.85,1.6
1983.583333,7,14.37,0.82,1.9
1983.666667,8,14.75,0.84,2.7
1983.75,9,16.63,0.81,1.4000000000000001
1983.833333,10,18.63,0.83,1.2
1983.916667,11,20.94,0.83,0.9000000000000001
1984,12,22.65,0.83,3.2
1984.083333,1,23.11,0.86,4.1000000000000005
1984.166667,2,23.34,0.88,4.3999999999999995
1984.25,3,22.75,0.89,5.3
1984.333333,4,19.72,0.89,4.6
1984.416667,5,17.68,0.89,3.4999999999999996
1984.5,6,15.71,0.89,2.7
1984.583333,7,13.94,0.88,3.4999999999999996
1984.666667,8,15.15,0.88,2.4
1984.75,9,16.28,0.88,3.4999999999999996
1984.833333,10,18.06,0.88,3.2
1984.916667,11,19.49,0.87,2.8000000000000003
1985,12,20.74,0.88,3.6000000000000005
1985.083333,1,22.73,0.88,4.9
1985.166667,2,22.6,0.86,3.6999999999999997
1985.25,3,21.2,0.86,3.3000000000000003
1985.333333,4,19.46,0.85,3.0000000000000004
1985.416667,5,16.99,0.83,3.2
1985.5,6,15.61,0.82,3.3000000000000003
1985.583333,7,13.77,0.81,3.0000000000000004
1985.666667,8,14.41,0.8,1.9
1985.75,9,16.18,0.81,1.6
1985.833333,10,17.7,0.82,3.4999999999999996
1985.916667,11,19.54,0.81,2.4
1986,12,21.27,0.83,3.6999999999999997
1986.083333,1,23.84,0.84,2.1999999999999997
1986.166667,2,23.53,0.86,3.1
1986.25,3,21.56,0.86,3.2
1986.333333,4,19.83,0.86,2.9000000000000004
1986.416667,5,16.77,0.84,1.7000000000000002
1986.5,6,14.92,0.82,2.5
1986.583333,7,14.23,0.81,2
1986.666667,8,14.67,0.8,1.9
1986.75,9,17.54,0.79,1.0999999999999999
1986.833333,10,19.67,0.81,0.7000000000000001
1986.916667,11,20.6,0.82,1.3
1987,12,21.68,0.83,2.3
1987.083333,1,22.95,0.85,3.0000000000000004
1987.166667,2,24.02,0.87,1.7000000000000002
1987.25,3,23.6,0.89,1.0999999999999999
1987.333333,4,20.59,0.89,2.0999999999999996
1987.416667,5,17.75,0.88,2.4
1987.5,6,15.9,0.86,2.5
1987.583333,7,14.51,0.84,2.7
1987.666667,8,14.27,0.83,2.8000000000000003
1987.75,9,16.05,0.85,1.9
1987.833333,10,17.68,0.85,1.6
1987.916667,11,20.71,0.86,2.9000000000000004
1988,12,22.43,0.87,2.6
1988.083333,1,23.97,0.9,5.3
1988.166667,2,24.9,0.91,3.2
1988.25,3,24.03,0.91,2.1999999999999997
1988.333333,4,20.5,0.9,5.1
1988.416667,5,17.43,0.91,4.8
1988.5,6,15.6,0.91,3.8
1988.583333,7,14.15,0.9,3.0000000000000004
1988.666667,8,14.81,0.88,2.1999999999999997
1988.75,9,16.72,0.89,1.5000000000000002
1988.833333,10,18.83,0.87,2.1999999999999997
1988.916667,11,20.65,0.88,2.5
1989,12,22.22,0.89,4.500000000000001
1989.083333,1,23.15,0.89,3.3000000000000003
1989.166667,2,23.49,0.88,4.199999999999999
1989.25,3,21.64,0.87,4.7
1989.333333,4,19.75,0.88,5.6000000000000005
1989.416667,5,18.14,0.89,5.8999999999999995
1989.5,6,14.55,0.85,4.500000000000001
1989.583333,7,13.72,0.84,3.2
1989.666667,8,14.13,0.82,2.3
1989.75,9,14.73,0.82,2.0999999999999996
1989.833333,10,18.05,0.82,2.0999999999999996
1989.916667,11,20.1,0.82,1.5000000000000002
1990,12,21.75,0.83,3.6000000000000005
1990.083333,1,21.82,0.83,5.2
1990.166667,2,22.96,0.83,3.6000000000000005
1990.25,3,20.83,0.82,2.0999999999999996
1990.333333,4,19.83,0.82,2.7
1990.416667,5,16.88,0.82,3.4000000000000004
1990.5,6,14.12,0.78,4.500000000000001
1990.583333,7,12.68,0.75,2.1999999999999997
1990.666667,8,14.23,0.75,2.9000000000000004
1990.75,9,15.73,0.76,1.4000000000000001
1990.833333,10,17.18,0.77,1.6
1990.916667,11,19.39,0.77,1.8000000000000003
1991,12,22.78,0.79,1.5000000000000002
1991.083333,1,24.26,0.81,1.6
1991.166667,2,24.87,0.82,1.5000000000000002
1991.25,3,24.76,0.83,1.5000000000000002
1991.333333,4,20.76,0.85,1.8000000000000003
1991.416667,5,17.28,0.83,1.8000000000000003
1991.5,6,15.3,0.82,1.8000000000000003
1991.583333,7,14.07,0.79,2.0999999999999996
1991.666667,8,14.14,0.77,2.0999999999999996
1991.75,9,16.21,0.78,1
1991.833333,10,19.14,0.8,1.3
1991.916667,11,20.3,0.8,1.7000000000000002
1992,12,22.7,0.8,1.0999999999999999
1992.083333,1,24.38,0.83,1.4000000000000001
1992.166667,2,24.08,0.84,4.3999999999999995
1992.25,3,22.41,0.86,2.9000000000000004
1992.333333,4,20.18,0.87,3.9
1992.416667,5,16.78,0.87,2.3
1992.5,6,15.66,0.87,2.9000000000000004
1992.583333,7,13.84,0.84,2.6
1992.666667,8,13.69,0.82,3.6000000000000005
1992.75,9,15.86,0.83,2.7
1992.833333,10,17.87,0.82,2.4
1992.916667,11,20.04,0.82,2
1993,12,22.89,0.85,1.8000000000000003
1993.083333,1,23.2,0.85,5.4
1993.166667,2,22.97,0.86,3.1
1993.25,3,21.94,0.87,1.5000000000000002
1993.333333,4,20.66,0.86,2.3
1993.416667,5,17.29,0.86,3.4000000000000004
1993.5,6,15.13,0.83,3.4000000000000004
1993.583333,7,13.75,0.82,2.1999999999999997
1993.666667,8,14.64,0.81,2.7
1993.75,9,15.8,0.81,3.6000000000000005
1993.833333,10,17.23,0.81,3.2
1993.916667,11,18.81,0.82,3.6000000000000005
1994,12,22.09,0.83,2.8000000000000003
1994.083333,1,23.26,0.84,4.1000000000000005
1994.166667,2,22.83,0.83,2.1999999999999997
1994.25,3,22.9,0.83,2.5
1994.333333,4,21.11,0.84,3.6000000000000005
1994.416667,5,17.24,0.84,5
1994.5,6,14.68,0.82,3.1
1994.583333,7,13.14,0.78,2.5
1994.666667,8,14.14,0.77,2.9000000000000004
1994.75,9,15.86,0.78,2.8000000000000003
1994.833333,10,17.38,0.79,2.0999999999999996
1994.916667,11,20.56,0.8,2.3
1995,12,22.42,0.81,3.3000000000000003
1995.083333,1,22.76,0.82,4.9
1995.166667,2,22.87,0.82,6.1
1995.25,3,21.86,0.84,4
1995.333333,4,20.32,0.85,2.7
1995.416667,5,16.87,0.84,3.9
1995.5,6,14.59,0.82,2.8000000000000003
1995.583333,7,13.78,0.8,2.7
1995.666667,8,14.28,0.79,2.1999999999999997
1995.75,9,17.16,0.81,1.6
1995.833333,10,18.16,0.82,1.6
1995.916667,11,20.36,0.82,2.0999999999999996
1996,12,21.83,0.85,2.1999999999999997
1996.083333,1,24.25,0.86,1.4000000000000001
1996.166667,2,24.36,0.89,1.8000000000000003
1996.25,3,23.84,0.91,3.9
1996.333333,4,20.62,0.93,3.3000000000000003
1996.416667,5,18.81,0.92,4
1996.5,6,15.95,0.93,3.9
1996.583333,7,14.69,0.9,4.6
1996.666667,8,14.87,0.88,3.0000000000000004
1996.75,9,16.32,0.9,2.0999999999999996
1996.833333,10,19.35,0.9,1.6
1996.916667,11,21.14,0.9,2.0999999999999996
1997,12,22.93,0.92,2.4
1997.083333,1,24.7,0.93,1.9
1997.166667,2,25.51,0.94,1.0999999999999999
1997.25,3,23.43,0.94,3.0000000000000004
1997.333333,4,20.13,0.94,2.8000000000000003
1997.416667,5,17.7,0.92,2.0999999999999996
1997.5,6,16.12,0.89,2.1999999999999997
1997.583333,7,15.3,0.87,2.1999999999999997
1997.666667,8,15.48,0.85,2.1999999999999997
1997.75,9,16.84,0.85,1.3
1997.833333,10,19.86,0.86,1.0999999999999999
1997.916667,11,21.77,0.86,1.7000000000000002
1998,12,23.18,0.86,3.4999999999999996
1998.083333,1,23.98,0.86,4.3999999999999995
1998.166667,2,23.33,0.87,5.7
1998.25,3,21.83,0.85,3.9
1998.333333,4,20.76,0.86,1.7000000000000002
1998.416667,5,17.68,0.85,3.8
1998.5,6,14.93,0.84,2.9000000000000004
1998.583333,7,14.28,0.83,2.4
1998.666667,8,14.04,0.83,2
1998.75,9,16.15,0.82,2.4
1998.833333,10,19.05,0.82,2.1999999999999997
1998.916667,11,20.63,0.84,3.2
1999,12,21.14,0.85,4.500000000000001
1999.083333,1,23.36,0.85,4.3999999999999995
1999.166667,2,23.83,0.86,1.4000000000000001
1999.25,3,23.75,0.86,2.1999999999999997
1999.333333,4,19.17,0.84,3.3000000000000003
1999.416667,5,17.7,0.84,1.6
