year,month,temperature,sea_level,precipitation_rate
1976.083333,1,0.71,0.57,4.9
1976.166667,2,1.79,0.53,3.4000000000000004
1976.25,3,5.46,0.5,5.3
1976.333333,4,9.72,0.48,4.6
1976.416667,5,15.22,0.5,3.6000000000000005
1976.5,6,18.72,0.57,8.799999999999999
1976.583333,7,21.13,0.62,6.800000000000001
1976.666667,8,21.27,0.65,3.4999999999999996
1976.75,9,18.12,0.67,6.6000000000000005
1976.833333,10,12.98,0.66,2.1999999999999997
1976.916667,11,8.44,0.64,2.5
1977,12,3.93,0.57,3.9
1977.083333,1,1.71,0.52,4.500000000000001
1977.166667,2,0.5,0.45,5.7
1977.25,3,2.94,0.41,4.7
1977.333333,4,7.71,0.43,3.8
1977.416667,5,14.91,0.47,4.199999999999999
1977.5,6,19.59,0.52,5.1
1977.583333,7,21.94,0.58,5.800000000000001
1977.666667,8,22.7,0.62,1.8000000000000003
1977.75,9,21.33,0.66,4.8
1977.833333,10,13.87,0.66,3.3000000000000003
1977.916667,11,9.59,0.63,3.8
1978,12,3.88,0.58,4.3999999999999995
1978.083333,1,1.18,0.5,5.7
1978.166667,2,-0.4,0.41,4.7
1978.25,3,2.72,0.36,5.800000000000001
1978.333333,4,7.67,0.39,4.199999999999999
1978.416667,5,13.8,0.43,5
1978.5,6,16.77,0.47,8.7
1978.583333,7,19.46,0.51,3.8
1978.666667,8,21.7,0.55,3.6000000000000005
1978.75,9,18.3,0.57,4.199999999999999
1978.833333,10,13.42,0.58,3.2
1978.916667,11,8.88,0.58,6.8999999999999995
1979,12,4.49,0.56,3.4999999999999996
1979.083333,1,0.49,0.53,3.2
1979.166667,2,0.95,0.46,3.4999999999999996
1979.25,3,1.95,0.41,5.2
1979.333333,4,7.2,0.4,5.4
1979.416667,5,13.21,0.43,3.4999999999999996
1979.5,6,19.14,0.49,5.2
1979.583333,7,21.49,0.56,2.8000000000000003
1979.666667,8,23.63,0.61,1.5000000000000002
1979.75,9,20.87,0.64,9.8
1979.833333,10,14.24,0.66,4.3999999999999995
1979.916667,11,8.08,0.64,2.0999999999999996
1980,12,5.17,0.6,5.5
1980.083333,1,0.12,0.53,5.6000000000000005
1980.166667,2,-0.38,0.43,3.2
1980.25,3,3.74,0.4,2.8000000000000003
1980.333333,4,10.44,0.41,5.800000000000001
1980.416667,5,14.34,0.46,4.3999999999999995
1980.5,6,16.9,0.52,5.8999999999999995
1980.583333,7,18.93,0.57,4.6
1980.666667,8,22.37,0.6,6.8999999999999995
1980.75,9,19.42,0.63,5.1
1980.833333,10,11.8,0.63,4.300000000000001
1980.916667,11,8.18,0.62,5.800000000000001
1981,12,4.2,0.58,3.2
1981.083333,1,1.66,0.53,4.7
1981.166667,2,0.06,0.45,4.8
1981.25,3,4.1,0.43,4.199999999999999
1981.333333,4,7.37,0.43,6.000000000000001
1981.416667,5,14.04,0.47,4.300000000000001
1981.5,6,17.86,0.52,7.200000000000001
1981.583333,7,23.16,0.58,2.3
1981.666667,8,23.69,0.63,6.2
1981.75,9,19.91,0.66,5.8999999999999995
1981.833333,10,13.45,0.66,7.200000000000001
1981.916667,11,7.95,0.63,2.1999999999999997
